"ฤฟฑ๊ฝฺตใ","ฤฟฑ๊ฝฺตใฯตอณภเะอ","ฤฟฑ๊ฝฺตใฮปบลร๛","ิดฝฺตใ","ิดฝฺตใภเะอ","ิดฝฺตใฮปบลร๛","ื้","สýพÝม๗ฯ๒","ร่ส๖","นซสฝ"
"FCS0092","VF","2110PI110905","OTS","VxOTS","PI110905.PV","AI","ะด","",""
"FCS0092","VF","2110PI110908","OTS","VxOTS","PI110908.PV","AI","ะด","",""
"FCS0092","VF","2110PI110909","OTS","VxOTS","PI110909.PV","AI","ะด","",""
"FCS0092","VF","2110PI110910","OTS","VxOTS","PI110910.PV","AI","ะด","",""
"FCS0092","VF","2110PI110911","OTS","VxOTS","PI110911.PV","AI","ะด","",""
"FCS0092","VF","2110PI111201","OTS","VxOTS","PI111201.PV","AI","ะด","",""
"FCS0092","VF","2110PI111302","OTS","VxOTS","PI111302.PV","AI","ะด","",""
"FCS0092","VF","2110PI111501","OTS","VxOTS","PI111501.PV","AI","ะด","",""
"FCS0092","VF","2110PI111503","OTS","VxOTS","PI111503.PV","AI","ะด","",""
"FCS0092","VF","2110PI160101","OTS","VxOTS","PI160101.PV","AI","ะด","",""
"FCS0092","VF","2110PI160102","OTS","VxOTS","PI160102.PV","AI","ะด","",""
"FCS0092","VF","2110PI160103","OTS","VxOTS","PI160103.PV","AI","ะด","",""
"FCS0092","VF","2110PI160105","OTS","VxOTS","PI160105.PV","AI","ะด","",""
"FCS0092","VF","2110PI160301","OTS","VxOTS","PI160301.PV","AI","ะด","",""
"FCS0092","VF","2110PI160401","OTS","VxOTS","PI160401.PV","AI","ะด","",""
"FCS0092","VF","2110PI160501","OTS","VxOTS","PI160501.PV","AI","ะด","",""
"FCS0092","VF","2110PI160901","OTS","VxOTS","PI160901.PV","AI","ะด","",""
"FCS0092","VF","2110PI160902","OTS","VxOTS","PI160902.PV","AI","ะด","",""
"FCS0092","VF","2110PI160903","OTS","VxOTS","PI160903.PV","AI","ะด","",""
"FCS0092","VF","2110PI170101","OTS","VxOTS","PI170101.PV","AI","ะด","",""
"FCS0092","VF","2110PI170102","OTS","VxOTS","PI170102.PV","AI","ะด","",""
"FCS0092","VF","2110PI170103","OTS","VxOTS","PI170103.PV","AI","ะด","",""
"FCS0092","VF","2110PI170201","OTS","VxOTS","PI170201.PV","AI","ะด","",""
"FCS0092","VF","2110PI170203","OTS","VxOTS","PI170203.PV","AI","ะด","",""
"FCS0092","VF","2110PI170401","OTS","VxOTS","PI170401.PV","AI","ะด","",""
"FCS0092","VF","2110PI170402","OTS","VxOTS","PI170402.PV","AI","ะด","",""
"FCS0092","VF","2110PIK1602A","OTS","VxOTS","PIK1602A.PV","AI","ะด","",""
"FCS0092","VF","2110PIK1602B","OTS","VxOTS","PIK1602B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101A01","OTS","VxOTS","PIP1101A01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101A02","OTS","VxOTS","PIP1101A02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101A03","OTS","VxOTS","PIP1101A03.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101A04","OTS","VxOTS","PIP1101A04.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101B01","OTS","VxOTS","PIP1101B01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101B02","OTS","VxOTS","PIP1101B02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101B03","OTS","VxOTS","PIP1101B03.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1101B04","OTS","VxOTS","PIP1101B04.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1102A","OTS","VxOTS","PIP1102A.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1102B","OTS","VxOTS","PIP1102B.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1103A01","OTS","VxOTS","PIP1103A01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1103A02","OTS","VxOTS","PIP1103A02.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1103B01","OTS","VxOTS","PIP1103B01.PV","AI","ะด","",""
"FCS0092","VF","2110PIP1103B02","OTS","VxOTS","PIP1103B02.PV","AI","ะด","",""
